id_estudiante,edad,genero,ciudad_origen,departamento_origen,estrato,puntaje_saber11,preferencia_area,universidad_codigo,universidad_nombre,universidad_departamento,universidad_tipo,universidad_acreditada,ranking_nacional,modalidad_programa,convenio_internacional,beca_disponible,eligio_universidad,cluster
0,17,0,2,4,6,257.5,4,3,2,0,1,1,5,2,1,1,0,2
1,17,1,4,1,6,287.4,3,3,2,0,1,1,5,2,1,0,1,2
2,22,0,2,4,2,289.7,1,0,1,2,1,1,1,0,0,1,0,2
3,22,1,0,1,4,275.9,2,0,1,2,1,1,1,0,1,0,1,2
4,17,0,4,4,1,295.2,0,2,4,3,1,1,10,0,1,0,0,2
5,17,0,3,4,1,312.1,0,3,2,0,1,1,5,0,1,1,1,2
6,19,1,4,4,5,356.6,4,0,1,2,1,1,1,1,1,1,0,2
7,17,0,3,3,3,305.2,3,4,0,1,0,0,30,1,0,1,1,2
8,25,1,1,1,2,307.7,4,0,1,2,1,1,1,2,0,1,0,2
9,17,0,0,2,5,297.8,1,2,4,3,1,1,10,0,1,1,1,2
10,18,1,4,3,4,242.4,1,3,2,0,1,1,5,2,1,1,0,2
11,24,0,1,2,2,299.2,1,0,1,2,1,1,1,2,1,0,0,2
12,23,0,1,0,4,301.8,2,3,2,0,1,1,5,1,0,0,0,2
13,18,1,1,2,6,373.9,4,2,4,3,1,1,10,2,0,0,0,2
14,25,0,1,1,6,294.2,4,0,1,2,1,1,1,0,0,0,1,2
15,22,1,2,3,6,309.0,0,3,2,0,1,1,5,1,1,0,0,2
16,25,0,1,0,6,299.0,3,1,3,2,0,1,2,2,1,1,0,2
17,17,1,4,0,5,264.9,0,3,2,0,1,1,5,0,0,1,0,2
18,18,1,1,2,1,334.3,0,2,4,3,1,1,10,1,1,1,0,2
19,21,0,2,3,4,322.6,4,3,2,0,1,1,5,2,1,0,0,2
20,24,0,0,3,2,323.7,3,0,1,2,1,1,1,1,0,1,0,2
21,18,0,2,1,3,272.7,2,3,2,0,1,1,5,1,0,1,0,2
22,21,1,3,0,2,342.1,3,0,1,2,1,1,1,2,0,1,1,2
23,19,0,2,4,1,257.9,1,2,4,3,1,1,10,1,0,0,1,2
24,24,1,4,3,4,317.6,1,0,1,2,1,1,1,0,0,1,1,2
25,23,1,4,4,4,365.7,2,4,0,1,0,0,30,0,0,0,1,2
26,23,1,0,0,1,270.3,4,2,4,3,1,1,10,2,0,1,0,2
27,25,1,4,0,3,283.0,0,1,3,2,0,1,2,1,1,1,1,2
28,19,1,3,1,1,303.0,4,1,3,2,0,1,2,1,0,0,1,2
29,24,1,0,1,5,284.9,2,4,0,1,0,0,30,2,0,0,1,2
30,21,0,0,2,5,253.5,0,2,4,3,1,1,10,1,1,0,1,2
31,24,1,0,3,3,302.1,0,2,4,3,1,1,10,1,1,1,0,2
32,18,0,1,3,5,268.1,3,2,4,3,1,1,10,2,1,1,0,2
33,22,0,4,1,2,314.2,1,0,1,2,1,1,1,0,0,0,1,2
34,22,1,2,1,6,272.4,2,2,4,3,1,1,10,0,0,1,1,2
35,19,0,4,1,6,346.5,2,2,4,3,1,1,10,0,1,1,1,2
36,22,1,2,2,6,276.5,0,4,0,1,0,0,30,1,0,0,0,2
37,20,0,0,4,3,290.3,2,4,0,1,0,0,30,1,1,0,1,2
38,22,1,2,1,2,324.4,3,1,3,2,0,1,2,1,1,0,1,2
39,23,0,3,1,2,263.1,1,1,3,2,0,1,2,0,0,1,1,2
40,20,0,2,1,2,306.8,2,3,2,0,1,1,5,0,0,1,0,2
41,19,0,1,1,4,339.2,4,2,4,3,1,1,10,0,0,0,1,2
42,19,0,0,3,1,251.8,2,4,0,1,0,0,30,0,1,1,1,2
43,23,1,0,3,1,305.5,2,3,2,0,1,1,5,1,0,0,1,2
44,22,1,4,4,4,307.8,4,1,3,2,0,1,2,1,1,0,1,2
45,17,1,1,0,3,323.5,1,0,1,2,1,1,1,2,1,1,0,2
46,20,0,1,2,5,262.9,3,1,3,2,0,1,2,0,1,0,0,2
47,24,1,2,3,6,260.4,3,3,2,0,1,1,5,0,1,0,1,2
48,20,0,3,2,3,315.7,0,1,3,2,0,1,2,2,0,1,0,2
49,17,0,4,0,5,308.9,1,0,1,2,1,1,1,0,1,1,0,2
50,19,1,4,3,1,307.5,3,2,4,3,1,1,10,2,0,1,0,2
51,18,0,1,0,6,310.4,4,1,3,2,0,1,2,2,1,0,1,2
52,25,0,4,2,2,279.6,2,0,1,2,1,1,1,1,1,0,0,2
53,22,0,0,1,3,307.0,2,2,4,3,1,1,10,1,0,0,1,2
54,18,0,1,1,2,308.8,2,2,4,3,1,1,10,2,1,0,0,2
55,21,0,0,3,3,278.6,3,4,0,1,0,0,30,2,0,1,0,2
56,22,0,4,2,6,356.0,1,1,3,2,0,1,2,2,1,0,1,2
57,24,1,3,2,3,314.2,3,3,2,0,1,1,5,0,1,1,1,2
58,24,0,4,1,3,264.3,0,2,4,3,1,1,10,2,1,1,1,2
59,21,1,1,2,2,319.7,1,4,0,1,0,0,30,0,1,0,0,2
60,24,1,2,0,5,270.8,2,3,2,0,1,1,5,2,0,1,0,2
61,24,1,4,0,1,323.6,1,1,3,2,0,1,2,1,1,1,1,2
62,22,1,1,4,5,334.8,4,4,0,1,0,0,30,2,1,0,1,2
63,24,1,2,2,4,275.4,0,1,3,2,0,1,2,1,1,0,0,2
64,23,1,3,0,4,328.9,0,2,4,3,1,1,10,0,1,0,0,2
65,19,0,2,2,4,312.4,4,3,2,0,1,1,5,0,1,0,1,2
66,20,0,2,0,2,324.7,4,4,0,1,0,0,30,2,1,1,0,2
67,25,1,2,4,2,356.9,4,2,4,3,1,1,10,0,1,0,0,2
68,17,1,1,3,6,292.6,0,1,3,2,0,1,2,0,0,0,1,2
69,21,0,3,1,5,277.4,1,1,3,2,0,1,2,2,0,1,0,2
70,23,0,0,4,1,273.3,4,3,2,0,1,1,5,0,0,1,0,2
71,19,0,2,3,2,275.5,2,4,0,1,0,0,30,2,1,0,0,2
72,20,1,1,2,2,297.7,2,2,4,3,1,1,10,2,0,1,0,2
73,22,1,3,1,5,310.2,4,3,2,0,1,1,5,2,0,1,0,2
74,25,0,3,4,3,308.3,3,3,2,0,1,1,5,2,0,1,0,2
75,21,1,1,1,1,324.8,0,0,1,2,1,1,1,2,1,0,0,2
76,23,1,2,3,6,300.4,2,2,4,3,1,1,10,2,1,0,1,2
77,25,0,2,3,5,343.6,1,2,4,3,1,1,10,2,1,1,0,2
78,19,1,2,3,1,292.1,2,1,3,2,0,1,2,2,0,0,0,2
79,24,0,3,3,1,381.6,4,4,0,1,0,0,30,1,1,1,0,2
80,22,0,2,0,5,318.8,1,2,4,3,1,1,10,2,0,1,0,2
